,x,mean,max,variance,1st quartile
1,7.401391311,9.437359476,18.06212856,3.978183552,8.093208837
2,10.84560206,,,,
3,9.543722323,,,,
4,8.265097299,,,,
5,10.65406536,,,,
6,4.597381742,,,,
7,8.808787873,,,,
8,9.320677111,,,,
9,8.432282784,,,,
10,3.462256371,,,,
11,5.653728441,,,,
12,10.86617907,,,,
13,3.705825031,,,,
14,12.7717042,,,,
15,8.392017044,,,,
16,10.67784338,,,,
17,9.837722209,,,,
18,6.821826437,,,,
19,7.528532684,,,,
20,5.163431086,,,,
21,8.53039918,,,,
22,12.64630301,,,,
23,12.52535681,,,,
24,8.441447528,,,,
25,12.20407874,,,,
26,10.7403138,,,,
27,7.414067366,,,,
28,10.28112478,,,,
29,10.85370918,,,,
30,12.6891071,,,,
31,10.54567312,,,,
32,10.5707768,,,,
33,5.903009413,,,,
34,6.030469927,,,,
35,11.12667552,,,,
36,11.30058289,,,,
37,9.807752138,,,,
38,6.625115789,,,,
39,10.9071437,,,,
40,7.891488894,,,,
41,10.44966411,,,,
42,8.596614992,,,,
43,9.750553775,,,,
44,10.72812096,,,,
45,11.03312399,,,,
46,10.55270572,,,,
47,12.98818373,,,,
48,8.840396385,,,,
49,10.13905908,,,,
50,9.336286723,,,,
51,8.465549133,,,,
52,7.12517051,,,,
53,7.748271721,,,,
54,12.10899357,,,,
55,9.21152345,,,,
56,7.86399652,,,,
57,3.13688627,,,,
58,8.327490843,,,,
59,9.127158868,,,,
60,9.078382235,,,,
61,12.69922327,,,,
62,9.791893342,,,,
63,7.694728382,,,,
64,9.194403051,,,,
65,9.768296257,,,,
66,8.049911812,,,,
67,10.07330884,,,,
68,9.965744285,,,,
69,9.378397791,,,,
70,8.04214988,,,,
71,4.975852692,,,,
72,14.73399754,,,,
73,10.3039265,,,,
74,10.28268656,,,,
75,10.79803961,,,,
76,10.65134156,,,,
77,8.151842468,,,,
78,11.19621439,,,,
79,9.434470435,,,,
80,8.452016869,,,,
81,7.293705064,,,,
